2023-09-28 08:31:05,653.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,653.smoker_temp_producer.INFO Today is 2023-09-28 at 08:31 AM
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Running on: posix Darwin 19.6.0
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python version:  3.11.4
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python path: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker/.venv
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Working dir: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker
2023-09-28 08:31:05,654.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,823.smoker_temp_producer.INFO Header skipped
2023-09-28 08:38:35,888.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:27:10', '') to 03-food-B
2023-09-28 08:39:05,888.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:27:15', '108.2') to 01-smoker
2023-09-28 08:39:05,889.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:27:15', '') to 02-food-A
2023-09-28 08:39:05,889.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:27:15', '') to 03-food-B
2023-09-28 08:39:35,894.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:28:10', '111.4') to 01-smoker
2023-09-28 08:39:35,895.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:28:10', '') to 02-food-A
2023-09-28 08:39:35,895.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:28:10', '') to 03-food-B
2023-09-28 08:40:05,897.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:28:15', '111.4') to 01-smoker
2023-09-28 08:40:05,897.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:28:15', '') to 02-food-A
2023-09-28 08:40:05,897.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:28:15', '') to 03-food-B
2023-09-28 08:40:35,908.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:29:10', '114.2') to 01-smoker
2023-09-28 08:40:35,908.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:29:10', '') to 02-food-A
2023-09-28 08:40:35,909.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:29:10', '') to 03-food-B
2023-09-28 08:41:05,912.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:29:15', '114.2') to 01-smoker
2023-09-28 08:41:05,913.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:29:15', '') to 02-food-A
2023-09-28 08:41:05,913.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:29:15', '') to 03-food-B
2023-09-28 08:41:35,919.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:30:10', '116.9') to 01-smoker
2023-09-28 08:41:35,919.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:30:10', '') to 02-food-A
2023-09-28 08:41:35,920.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:30:10', '') to 03-food-B
2023-09-28 08:42:05,928.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:30:15', '116.9') to 01-smoker
2023-09-28 08:42:05,929.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:30:15', '') to 02-food-A
2023-09-28 08:42:05,929.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:30:15', '') to 03-food-B
2023-09-28 08:42:35,939.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:31:10', '119.4') to 01-smoker
2023-09-28 08:42:35,939.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:31:10', '') to 02-food-A
2023-09-28 08:42:35,940.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:31:10', '') to 03-food-B
2023-09-28 08:43:05,944.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:31:15', '119.4') to 01-smoker
2023-09-28 08:43:05,945.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:31:15', '') to 02-food-A
2023-09-28 08:43:05,945.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:31:15', '') to 03-food-B
2023-09-28 08:43:35,947.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:32:10', '120.1') to 01-smoker
2023-09-28 08:43:35,947.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:32:10', '') to 02-food-A
2023-09-28 08:43:35,948.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:32:10', '') to 03-food-B
2023-09-28 08:44:05,954.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:32:15', '120.1') to 01-smoker
2023-09-28 08:44:05,954.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:32:15', '') to 02-food-A
2023-09-28 08:44:05,955.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:32:15', '') to 03-food-B
2023-09-28 08:44:35,965.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:33:10', '106.2') to 01-smoker
2023-09-28 08:44:35,965.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:33:10', '') to 02-food-A
